sno,sna,sarea,lng,lat,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224
1,捷運市政府站(3號出口),信義區,121.5679044,25.04085789,0.6,0.31,0.38,0.47,0.58,0.63,0.7,0.68,0.75,0.81,0.71,0.68,0.79,0.84,0.74,0.32,0.12,0.01,0.54,0.52,0.51,0.56,0.52,0.62,0.64,0.64,0.66,0.63,0.61,0.87,0.9,0.88,0.82,0.41,0.27,0.2,0.45,0.36,0.34,0.38,0.41,0.45,0.44,0.43,0.49,0.54,0.57,0.61,0.59,0.59,0.73,0.56,0.29,0.2,0.47,0.5,0.71,0.73,0.67,0.94,0.76,0.81,0.86,0.78,0.74,0.76,0.78,0.7,0.69,0.56,0.1,0.16,0.37,0.32,0.2,0.42,0.5,0.64,0.64,0.82,0.87,0.69,0.63,0.58,0.54,0.53,0.54,0.1,0.29,0.12,0.41,0.36,0.18,0.23,0.28,0.32,0.34,0.39,0.55,0.73,0.69,0.72,0.63,0.5,0.28,0.01,0,0,0.66,0.62,0.59,0.54,0.53,0.56,0.66,0.66,0.61,0.59,0.53,0.56,0.75,0.72,0.75,0.44,0.19,0.11
2,捷運國父紀念館站(2號出口),大安區,121.55742,25.041254,0.83,0.88,0.56,0.58,0.62,0.56,0.52,0.42,0.54,0.29,0.42,0.34,0.55,0.35,0.12,0.1,0.06,0.53,0.45,0.09,0.32,0.51,0.47,0.79,0.74,0.5,0.24,0.26,0.32,0.49,0.62,0.4,0.11,0.02,0.09,0.3,0.51,0.49,0.19,0.3,0.49,0.34,0.62,0.57,0.62,0.62,0.65,0.62,0.98,0.54,0.38,0.02,0.25,0,0.27,0.4,0.62,0.38,0.5,0.29,0.65,0.62,0.19,0.31,0.42,0.1,0.44,0.21,0.25,0.06,0.04,0.02,0.67,0.42,0.35,0.12,0.21,0.54,0.77,0.79,0.35,0.29,0.04,0.52,0.52,0.35,0.17,0.33,0.06,0.15,0.54,0.29,0.1,0.23,0.35,0.02,0.04,0.12,0.17,0.17,0.27,0.19,0.46,0.62,0.33,0.54,0.06,0,0.64,0.55,0.3,0.11,0.33,0.27,0.5,0.69,0.29,0.33,0.29,0.69,0.48,0.19,0.42,0.21,0.5,0.35
3,台北市政府,信義區,121.5651694,25.03779722,0.47,0.42,0.71,0.5,0.61,0.18,0.34,0.58,0.68,0.77,0.72,0.74,0.8,0.75,0.68,0.25,0,0.2,0.3,1,0.4,0.7,0.65,0.53,0.47,0.8,0.47,0.82,0.6,0.62,0.35,0.7,0.57,0.15,0.05,0.28,0.28,0.74,0.74,0.54,0.33,0.05,0.33,0.7,0.82,0.69,0.74,0.79,0.36,0.72,0.49,0.74,0.31,0.44,0.49,0.54,0.59,0.82,0.36,0.51,0.74,0.67,0.26,0.23,0.21,0.38,0.51,0.51,0.62,0.23,0.18,0.15,0.38,0.21,0.28,0.41,0.51,0.51,0.38,0.41,0.33,0.59,0.51,0.41,0.67,0.82,0.64,0.05,0.54,0.21,0.33,0.28,0.97,0.78,0.93,0.62,0.53,0.5,0.6,0.53,0.82,0.62,0.33,0.85,0.7,0.33,0.15,0.03,0.33,0.4,0.6,0.97,0.55,0.28,0.3,0.62,0.7,0.47,0.85,0.5,0.53,0.28,0.75,0.35,0.42,0.17
4,市民廣場,信義區,121.562325,25.03603611,0.28,0.32,0.6,0.57,0.57,0.53,0.5,0.5,0.5,0.75,0.75,0.6,0.4,0.27,0.23,0.22,0.2,0.17,0.32,0.5,0.67,0.72,0.8,0.72,0.65,0.68,0.7,0.68,0.6,0.42,0.35,0.23,0.28,0.28,0.07,0.23,0.32,0.38,0.55,0.68,0.58,0.75,0.65,0.7,0.7,0.73,0.72,0.7,0.6,0.5,0.48,0.45,0.27,0.15,0.13,0.17,0.45,0.33,0.5,0.78,0.8,0.78,0.77,0.72,0.58,0.6,0.67,0.65,0.62,0.72,0.55,0.57,0.55,0.6,0.63,0.62,0.65,0.72,0.73,0.77,0.8,0.83,0.8,0.62,0.57,0.48,0.4,0.2,0.12,0.2,0.45,0.5,0.62,0.6,0.6,0.53,0.55,0.58,0.57,0.6,0.68,0.77,0.55,0.5,0.5,0.35,0.28,0.28,0.22,0.28,0.55,0.52,0.47,0.48,0.55,0.6,0.7,0.65,0.83,0.82,0.42,0.43,0.3,0.27,0.17,0.12
5,興雅國中,信義區,121.5686639,25.03656389,0.36,0.27,0.44,0.27,0.53,0.32,0.14,0.38,0.4,0.35,0.42,0.23,0.4,0.55,0.33,0.35,0,0.12,0.35,0.55,0.42,0.2,0.37,0.3,0.23,0.47,0.15,0.05,0.43,0.05,0.22,0.27,0.27,0.1,0,0.23,0.38,0.87,0.53,0.23,0.38,0.38,0.15,0.3,0.43,0.27,0.23,0.3,0.55,0.62,0.5,0.7,0.65,0.68,0.22,0.35,0.5,0.5,0.52,0.61,0.59,0.5,0.32,0.44,0.32,0.73,0.77,0.78,0.58,0.73,0.18,0.49,0.23,0.29,0.47,0.55,0.39,0.76,0.52,0.43,0.53,0.68,0.32,0.36,0.32,0.56,0.58,0.27,0.56,0.1,0.28,0.76,0.12,0.24,0.55,0.52,0.1,0.4,0.44,0.34,0.33,0.15,0.42,0.23,0.28,0.35,0.03,0,0.47,0.42,0.75,0.27,0.25,0.07,0.17,0.28,0.28,0.27,0.3,0.45,0.2,0.45,0.5,0.57,0.12,0.15
6,臺北南山廣場,信義區,121.565973,25.034047,0.44,0.54,0.72,0.88,0.91,0.9,0.97,0.79,0.84,0.93,0.79,0.75,0.66,0.36,0.24,0.09,0.01,0.01,0.21,0.51,0.69,0.78,0.82,0.82,0.84,0.9,0.91,0.93,0.91,0.59,0.41,0.36,0.06,0.04,0.01,0.01,0.05,0.11,0.49,0.64,0.69,0.69,0.69,0.77,0.79,0.74,0.69,0.75,0.58,0.68,0.49,0.23,0.06,0.03,0.06,0.1,0.32,0.41,0.44,0.54,0.53,0.62,0.56,0.6,0.6,0.68,0.58,0.54,0.36,0.19,0.22,0.03,0.14,0.16,0.18,0.34,0.44,0.59,0.72,0.69,0.83,0.78,0.53,0.55,0.62,0.53,0.52,0.33,0.21,0.19,0.24,0.24,0.59,0.75,0.81,0.85,0.88,0.88,0.86,0.86,0.85,0.81,0.37,0.15,0.03,0.04,0.01,0.03,0.27,0.32,0.59,0.72,0.81,0.82,0.78,0.84,0.9,0.9,0.91,0.9,0.37,0.26,0.26,0.03,0.03,0.03
7,信義廣場(台北101),信義區,121.5656194,25.03303889,0.49,0.24,0.51,0.3,0.68,0.68,0.64,0.74,0.57,0.46,0.42,0.68,0.13,0.53,0.41,0.32,0,0.01,0.26,0.23,0.52,0.58,0.1,0.1,0,0.3,0.44,0.34,0.7,0.18,0.25,0.22,0.24,0,0,0,0.33,0.17,0.47,0.36,0.35,0.26,0.15,0.33,0.71,0.53,0.5,0.59,0.44,0.51,0.47,0.04,0.01,0,0.39,0.4,0.35,0.31,0.3,0.35,0.37,0.65,0.85,0.69,0.61,0.62,0.76,0.76,0.8,0.39,0.25,0.11,0.23,0.28,0.15,0.12,0.39,0.95,0.84,0.75,0.74,0.8,0.7,0.68,0.68,0.51,0.12,0.03,0.2,0.11,0.23,0.28,0.65,0.65,0.62,0.33,0.17,0.15,0.36,0.46,0.4,0.38,0.06,0.23,0.23,0,0.01,0.13,0.38,0.31,0.62,0.7,0.68,0.71,0.67,0.86,0.68,0.71,0.64,0.35,0.51,0.5,0.29,0.01,0.1,0
8,世貿三館,信義區,121.5636889,25.03521389,0.27,0.37,0.46,0.56,0.49,0.49,0.54,0.66,0.64,0.56,0.53,0.46,0.46,0.41,0.54,0.51,0.32,0.17,0.2,0.41,0.58,0.58,0.66,0.8,0.83,0.86,0.9,0.88,0.81,0.47,0.53,0.54,0.41,0.24,0.14,0.17,0.12,0.22,0.19,0.34,0.32,0.53,0.51,0.61,0.53,0.49,0.44,0.41,0.33,0.28,0.16,0.05,0,0.12,0.37,0.46,0.32,0.63,0.68,0.83,0.86,0.8,1,0.78,0.81,0.83,0.63,0.78,0.78,0.64,0.54,0.44,0.22,0.31,0.4,0.48,0.69,0.78,0.71,0.79,0.83,0.81,0.71,0.6,0.45,0.4,0.29,0.19,0.02,0.26,0.37,0.51,0.59,0.73,0.73,0.78,0.75,0.8,0.78,0.86,0.81,0.69,0.68,0.71,0.49,0.19,0.03,0.02,0.41,0.56,0.68,0.75,0.68,0.69,0.71,0.75,0.76,0.76,0.76,0.64,0.2,0.24,0.14,0.03,0,0.2
9,松德站,信義區,121.57448,25.031785,0.57,0.53,0.75,0.62,0.55,0.53,0.47,0.53,0.4,0.35,0.53,0.17,0.05,0.05,0.1,0.33,0.47,0.57,0.57,0.62,0.7,0.72,0.72,0.45,0.55,0.65,0.42,0.33,0.1,0.17,0.4,0.35,0.33,0.62,0.65,0.72,0.88,0.7,0.7,0.55,0.68,0.53,0.72,0.5,0.47,0.36,0.46,0.33,0.25,0.17,0.28,0.47,0.23,0.4,0.47,0.62,0.4,0.2,0.1,0.15,0.1,0.12,0.23,0.4,0.35,0.56,0.36,0.18,0.33,0.47,0.7,0.7,0.75,0.78,0.55,0.33,0.23,0.03,0,0.45,0.5,0.35,0.33,0.25,0.33,0.35,0.47,0.53,0.57,0.57,0.68,0.75,0.35,0.33,0.23,0.33,0.28,0.59,0.69,0.56,0.15,0,0.05,0.1,0.3,0.45,0.53,0.55,0.72,0.65,0.68,0.7,0.57,0.23,0.12,0.15,0.33,0.93,0.95,0.05,0.2,0.35,0.33,0.4,0.6,0.53
