sno,sna,sarea,lng,lat,807,808,809,810,811,812,813,814,815,816,817,818,819,820,821,822,823,824
1,捷運市政府站(3號出口),信義區,121.5679044,25.04085789,95,77.6,72,77.6,83,91.6,99,100.2,109,117.4,111,122.8,130,125.6,118.2,61.2,31.4,18.2
2,捷運國父紀念館站(2號出口),大安區,121.55742,25.041254,28.2,21.8,14,16.4,21.6,18.8,23,21.8,17.6,16,18.6,22.2,29.4,20.2,13,8.6,9.2,11.2
3,台北市政府,信義區,121.5651694,25.03779722,13.4,22.4,26.8,27.6,24.2,13.2,15.6,25.4,25.8,25.8,29.6,26,18.8,26.2,25.4,14.4,7.4,8.8
4,市民廣場,信義區,121.562325,25.03603611,19,23.8,35.8,37,36,36.2,34.8,36.8,38,41,43,39.6,27.8,23.2,21.6,18.8,11.8,11.4
5,興雅國中,信義區,121.5686639,25.03656389,21.8,34,27,14.4,24.8,19,9.4,22,20.4,15.2,20.6,14.2,21.4,25.4,22.6,24.8,9.6,14.2
6,臺北南山廣場,信義區,121.565973,25.034047,18.8,26.6,48,59,63.2,63.6,65,64.8,66.6,67.6,64.2,58.8,36.8,27.8,16.6,6.6,2,1.6
7,信義廣場(台北101),信義區,121.5656194,25.03303889,26.6,19.4,43.8,41,38.4,32.4,25.8,37.6,43.6,39.8,42.2,34.4,22.2,31.6,26,5.8,2,2.2
8,世貿三館,信義區,121.5636889,25.03521389,16.2,24.4,29.4,34.8,34,38.8,39.4,43.4,42.6,42,39.6,31.6,25.8,25.6,20.4,12,5.8,8
9,松德站,信義區,121.57448,25.031785,27.4,26,25.4,23.4,22,16.4,17.2,19.2,18.4,20,17.4,5.8,7.6,8.2,10.6,18.2,19.8,22.2
10,台北市災害應變中心,信義區,121.5661167,25.02866111,32,34,27.4,29.4,27,26,28,20.2,25.4,24,22.2,13.2,22.8,26.8,23.2,23,32.2,30
11,三張犁,信義區,121.55762,25.034937,55.2,18,11,8.8,8,6.2,10.4,6.6,11.2,12.8,11.6,12.6,14.2,21.8,21.2,39,50.4,54.6
12,臺北醫學大學,信義區,121.561747,25.026679,13.8,23.6,20.6,20.6,20.4,21,19.8,24,28.4,34.6,17,14,19.2,27,20.4,22.8,23.6,30
13,福德公園,信義區,121.58367,25.03809,26.2,26.8,16.6,22.2,28.4,25.2,27.2,24.2,22.8,21,21.8,26,35.8,24.8,18.6,22.2,39,28.8
14,榮星花園,中山區,121.54037,25.06424,16.2,21.4,14.6,8.8,7.8,7.4,8.4,5.8,4.8,4.4,5.8,15,7.8,12.2,13.8,16,19.6,18.4
15,饒河夜市,松山區,121.571885,25.049845,40.2,26,28,24.4,19.4,16.2,16.2,16.4,19.8,21.8,18.4,17.6,21.2,34.6,36.8,43.2,48.2,49.6
16,松山家商,信義區,121.579135,25.036084,26.6,31.8,24,24.2,19,15.4,15,17.8,19.8,7,3,6.2,8.2,16,20.8,25,33.8,34.4
17,民生光復路口,松山區,121.55514,25.05862,7.6,15.4,19.6,15.8,15.6,9.8,7.6,13,13.4,9.6,15.6,11,9.6,13.8,11.6,11,12.4,14.8
18,臺北市藝文推廣處,松山區,121.552278,25.048268,14,12.4,8.6,15,13.6,12.2,12.2,13,12.6,12,12.4,19.8,22,22.2,14.6,7.8,9,11
