"Country","Region","Openness","Happiness","GDP","Family","Health","Freedom","Trust","Generosity","DystopiaResidual"
"1","Taiwan","Eastern Asia",78,6.3,1.29,1.08,0.88,0.4,0.08,0.25,2.32
"2","United Kingdom","Western Europe",76,6.87,1.27,1.29,0.91,0.6,0.32,0.52,1.97
"3","Denmark","Western Europe",70,7.53,1.33,1.36,0.87,0.65,0.48,0.34,2.49
"4","Colombia","Latin America and Caribbean",68,6.48,0.92,1.24,0.69,0.53,0.05,0.18,2.86
"5","Finland","Western Europe",67,7.41,1.29,1.32,0.89,0.64,0.41,0.23,2.62
"6","Australia","Australia and New Zealand",67,7.28,1.33,1.31,0.93,0.65,0.36,0.44,2.27
"7","Uruguay","Latin America and Caribbean",66,6.49,1.06,1.21,0.81,0.6,0.25,0.23,2.32
"8","United States","North America",64,7.12,1.39,1.25,0.86,0.55,0.16,0.4,2.51
"9","Netherlands","Western Europe",64,7.38,1.33,1.28,0.89,0.62,0.32,0.48,2.47
"10","Norway","Western Europe",63,7.52,1.46,1.33,0.89,0.67,0.37,0.35,2.47
"11","France","Western Europe",63,6.58,1.28,1.26,0.95,0.55,0.21,0.12,2.21
"12","Brazil","Latin America and Caribbean",61,6.98,0.98,1.23,0.7,0.49,0.18,0.15,3.26
"13","Romania","Central and Eastern Europe",58,5.12,1.04,0.89,0.77,0.35,0.01,0.14,1.93
"14","Mexico","Latin America and Caribbean",58,7.19,1.02,0.91,0.81,0.48,0.21,0.14,3.6
"15","Isle of Man",NA,57,NA,NA,NA,NA,NA,NA,NA,NA
"16","Bulgaria","Central and Eastern Europe",56,4.22,1.01,1.11,0.77,0.31,0.01,0.12,0.9
"17","Canada","North America",55,7.43,1.33,1.32,0.91,0.63,0.33,0.46,2.45
"18","Spain","Western Europe",55,6.33,1.23,1.31,0.96,0.46,0.06,0.18,2.12
"19","India","Southern Asia",55,4.57,0.64,0.38,0.52,0.4,0.08,0.26,2.28
"20","Italy","Western Europe",55,5.95,1.25,1.2,0.95,0.26,0.03,0.23,2.03
"21","Czech Republic","Central and Eastern Europe",52,6.5,1.18,1.21,0.84,0.46,0.03,0.11,2.68
"22","Moldova, Republic of",NA,51,NA,NA,NA,NA,NA,NA,NA,NA
"23","Korea, Republic of",NA,50,NA,NA,NA,NA,NA,NA,NA,NA
"24","Austria","Western Europe",50,7.2,1.34,1.3,0.89,0.62,0.19,0.33,2.53
"25","Singapore","Southeastern Asia",50,6.8,1.52,1.02,1.03,0.54,0.49,0.31,1.89
"26","Germany","Western Europe",49,6.75,1.33,1.3,0.89,0.61,0.22,0.28,2.12
"27","Iceland","Western Europe",48,7.56,1.3,1.4,0.95,0.63,0.14,0.44,2.7
"28","Sweden","Western Europe",48,7.36,1.33,1.29,0.91,0.66,0.44,0.36,2.37
"29","Switzerland","Western Europe",47,7.59,1.4,1.35,0.94,0.67,0.42,0.3,2.52
"30","Chile","Latin America and Caribbean",47,6.67,1.11,1.12,0.86,0.44,0.13,0.33,2.68
"31","Ireland","Western Europe",46,6.94,1.34,1.37,0.9,0.62,0.29,0.46,1.98
"32","Japan","Eastern Asia",46,5.99,1.27,1.26,0.99,0.5,0.18,0.11,1.68
"33","Latvia","Central and Eastern Europe",46,5.1,1.11,1.1,0.72,0.3,0.06,0.18,1.62
"34","Kyrgyzstan","Central and Eastern Europe",44,5.29,0.47,1.15,0.65,0.43,0.04,0.3,2.23
"35","Belgium","Western Europe",43,6.94,1.31,1.29,0.9,0.58,0.23,0.22,2.41
"36","Kosovo","Central and Eastern Europe",43,5.59,0.8,0.81,0.63,0.25,0.05,0.28,2.77
"37","Jamaica","Latin America and Caribbean",42,5.71,0.81,1.15,0.69,0.5,0.02,0.21,2.32
"38","Albania","Central and Eastern Europe",42,4.96,0.88,0.8,0.81,0.36,0.06,0.14,1.9
"39","Hong Kong","Eastern Asia",42,5.47,1.39,1.06,1.01,0.6,0.37,0.39,0.65
"40","Luxembourg","Western Europe",41,6.95,1.56,1.22,0.92,0.62,0.38,0.28,1.97
"41","Indonesia","Southeastern Asia",40,5.4,0.83,1.09,0.64,0.47,0,0.52,1.86
"42","Thailand","Southeastern Asia",39,6.46,0.97,1.27,0.74,0.56,0.03,0.58,2.32
"43","Greece","Western Europe",39,4.86,1.15,0.93,0.88,0.08,0.01,0,1.8
"44","Israel","Middle East and Northern Africa",38,7.28,1.23,1.22,0.91,0.41,0.08,0.33,3.09
"45","Rwanda","Sub-Saharan Africa",38,3.46,0.22,0.77,0.43,0.59,0.55,0.23,0.67
"46","Puerto Rico",NA,38,NA,NA,NA,NA,NA,NA,NA,NA
"47","Turkey","Middle East and Northern Africa",37,5.33,1.06,0.95,0.73,0.23,0.16,0.12,2.09
"48","Georgia","Central and Eastern Europe",37,4.3,0.74,0.39,0.73,0.41,0.38,0.06,1.6
"49","Jersey",NA,36,NA,NA,NA,NA,NA,NA,NA,NA
"50","Guernsey",NA,35,NA,NA,NA,NA,NA,NA,NA,NA
"51","Kazakhstan","Central and Eastern Europe",35,5.86,1.12,1.12,0.64,0.52,0.08,0.12,2.25
"52","Slovakia","Central and Eastern Europe",35,6,1.17,1.27,0.79,0.32,0.03,0.17,2.25
"53","Paraguay","Latin America and Caribbean",35,5.88,0.76,1.3,0.66,0.54,0.08,0.34,2.19
"54","South Africa","Sub-Saharan Africa",34,4.64,0.92,1.18,0.28,0.33,0.09,0.12,1.72
"55","Argentina","Latin America and Caribbean",34,6.57,1.05,1.25,0.79,0.45,0.08,0.11,2.84
"56","Portugal","Western Europe",34,5.1,1.16,1.14,0.88,0.51,0.01,0.14,1.26
"57","Ukraine","Central and Eastern Europe",34,4.68,0.8,1.2,0.67,0.25,0.03,0.15,1.57
"58","Senegal","Sub-Saharan Africa",32,3.9,0.36,0.98,0.44,0.37,0.11,0.21,1.44
"59","Burkina Faso","Sub-Saharan Africa",32,3.59,0.26,0.85,0.27,0.39,0.13,0.22,1.46
"60","Ecuador","Latin America and Caribbean",32,5.97,0.86,1,0.79,0.49,0.18,0.12,2.54
"61","Pakistan","Southern Asia",30,5.19,0.6,0.41,0.51,0.12,0.1,0.34,3.11
"62","Russian Federation",NA,30,NA,NA,NA,NA,NA,NA,NA,NA
"63","Cayman Islands",NA,30,NA,NA,NA,NA,NA,NA,NA,NA
"64","Benin","Sub-Saharan Africa",30,3.34,0.29,0.35,0.32,0.48,0.08,0.18,1.63
"65","Nepal","Southern Asia",30,4.51,0.36,0.86,0.57,0.38,0.06,0.32,1.96
"66","Bermuda",NA,29,NA,NA,NA,NA,NA,NA,NA,NA
"67","Oman","Middle East and Northern Africa",29,6.85,1.36,1.08,0.76,0.63,0.33,0.22,2.47
"68","Costa Rica","Latin America and Caribbean",29,7.23,0.96,1.24,0.86,0.63,0.11,0.25,3.18
"69","Macedonia, the Former Yugoslav Republic of",NA,28,NA,NA,NA,NA,NA,NA,NA,NA
"70","Bolivia, Plurinational State of",NA,28,NA,NA,NA,NA,NA,NA,NA,NA
"71","Kenya","Sub-Saharan Africa",27,4.42,0.36,1,0.41,0.42,0.06,0.38,1.79
"72","Saint Lucia",NA,27,NA,NA,NA,NA,NA,NA,NA,NA
"73","Dominica",NA,27,NA,NA,NA,NA,NA,NA,NA,NA
"74","Guatemala","Latin America and Caribbean",27,6.12,0.75,1.04,0.64,0.58,0.09,0.27,2.74
"75","El Salvador","Latin America and Caribbean",27,6.13,0.76,1.03,0.68,0.4,0.12,0.11,3.04
"76","Morocco","Middle East and Northern Africa",26,5.01,0.73,0.64,0.61,0.42,0.09,0.07,2.45
"77","Dominican Republic","Latin America and Caribbean",26,4.88,0.9,1.17,0.67,0.58,0.14,0.22,1.21
"78","Philippines","Southeastern Asia",25,5.07,0.71,1.04,0.58,0.63,0.12,0.25,1.75
"79","Cameroon","Sub-Saharan Africa",25,4.25,0.42,0.89,0.23,0.49,0.06,0.21,1.95
"80","Bahrain","Middle East and Northern Africa",25,5.96,1.32,1.22,0.75,0.45,0.31,0.17,1.74
"81","Azerbaijan","Central and Eastern Europe",25,5.21,1.02,0.94,0.64,0.37,0.16,0.08,2
"82","Guyana",NA,23,NA,NA,NA,NA,NA,NA,NA,NA
"83","Trinidad and Tobago","Latin America and Caribbean",22,6.17,1.21,1.18,0.61,0.56,0.01,0.32,2.27
"84","Egypt","Middle East and Northern Africa",22,4.19,0.88,0.75,0.62,0.17,0.06,0.11,1.6
"85","Tajikistan","Central and Eastern Europe",22,4.79,0.39,0.86,0.57,0.47,0.15,0.23,2.11
"86","Tunisia","Middle East and Northern Africa",21,4.74,0.88,0.6,0.74,0.26,0.06,0.06,2.12
"87","Qatar","Middle East and Northern Africa",21,6.61,1.69,1.08,0.8,0.64,0.52,0.33,1.56
"88","Jordan","Middle East and Northern Africa",20,5.19,0.9,1.05,0.7,0.41,0.14,0.11,1.88
"89","Panama","Latin America and Caribbean",20,6.79,1.06,1.2,0.8,0.54,0.09,0.24,2.85
"90","Botswana","Sub-Saharan Africa",19,4.33,0.99,1.1,0.05,0.49,0.12,0.1,1.46
"91","Tanzania, United Republic of",NA,19,NA,NA,NA,NA,NA,NA,NA,NA
"92","Mali","Sub-Saharan Africa",19,4,0.26,1.04,0.21,0.39,0.12,0.19,1.79
"93","China","Eastern Asia",18,5.14,0.89,0.95,0.82,0.52,0.03,0.08,1.86
"94","Timor-Leste",NA,18,NA,NA,NA,NA,NA,NA,NA,NA
"95","Kuwait","Middle East and Northern Africa",18,6.29,1.55,1.17,0.72,0.55,0.26,0.16,1.88
"96","Togo","Sub-Saharan Africa",17,2.84,0.21,0.14,0.28,0.36,0.11,0.17,1.57
"97","Montserrat",NA,17,NA,NA,NA,NA,NA,NA,NA,NA
"98","Côte d'Ivoire",NA,16,NA,NA,NA,NA,NA,NA,NA,NA
"99","Lebanon","Middle East and Northern Africa",16,4.84,1.03,0.8,0.84,0.34,0.05,0.22,1.57
"100","United Arab Emirates","Middle East and Northern Africa",16,6.9,1.43,1.13,0.81,0.64,0.39,0.26,2.25
"101","Guinea","Sub-Saharan Africa",16,3.66,0.17,0.46,0.24,0.38,0.12,0.29,1.99
"102","Niger","Sub-Saharan Africa",16,3.85,0.07,0.77,0.3,0.48,0.16,0.19,1.88
"103","Saudi Arabia","Middle East and Northern Africa",15,6.41,1.4,1.08,0.72,0.31,0.33,0.14,2.44
"104","Grenada",NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"105","St. Vincent & the Grenadines",NA,14,NA,NA,NA,NA,NA,NA,NA,NA
"106","Aruba",NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"107","Ethiopia","Sub-Saharan Africa",13,4.51,0.19,0.6,0.44,0.43,0.15,0.24,2.45
"108","Cambodia","Southeastern Asia",12,3.82,0.46,0.63,0.61,0.66,0.07,0.4,0.98
"109","Barbados",NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"110","Bahamas",NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"111","Iraq","Middle East and Northern Africa",11,4.68,0.99,0.82,0.6,0,0.14,0.18,1.95
"112","Malaysia","Southeastern Asia",10,5.77,1.12,1.07,0.72,0.53,0.11,0.33,1.89
"113","Nigeria","Sub-Saharan Africa",9,5.27,0.65,0.9,0.16,0.34,0.04,0.27,2.89
"114","Sudan","Sub-Saharan Africa",9,4.55,0.52,1.01,0.37,0.1,0.15,0.19,2.21
"115","Turks and Caicos Islands",NA,9,NA,NA,NA,NA,NA,NA,NA,NA
"116","Antigua and Barbuda",NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"117","Algeria","Middle East and Northern Africa",7,5.61,0.94,1.08,0.62,0.29,0.17,0.08,2.43
"118","Iran, Islamic Republic of",NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"119","Saint Kitts and Nevis",NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"120","Libya","Middle East and Northern Africa",6,5.75,1.13,1.12,0.7,0.42,0.11,0.18,2.09
"121","Syria","Middle East and Northern Africa",5,3.01,0.66,0.47,0.72,0.16,0.19,0.47,0.33
"122","Myanmar","Southeastern Asia",3,4.31,0.27,0.71,0.48,0.44,0.19,0.8,1.42
"123","New Zealand","Australia and New Zealand",0,7.29,1.25,1.32,0.91,0.64,0.43,0.48,2.26
"124","Slovenia","Central and Eastern Europe",0,5.85,1.18,1.27,0.87,0.61,0.04,0.25,1.62
"125","Hungary","Central and Eastern Europe",0,4.8,1.12,1.2,0.76,0.32,0.03,0.13,1.24
"126","Malta","Western Europe",0,6.3,1.21,1.3,0.89,0.6,0.14,0.52,1.65
"127","Serbia","Central and Eastern Europe",0,5.12,0.92,1.01,0.75,0.2,0.03,0.19,2.02
"128","Poland","Central and Eastern Europe",0,5.79,1.13,1.28,0.78,0.53,0.04,0.17,1.87
"129","Croatia","Central and Eastern Europe",0,5.76,1.08,0.8,0.79,0.26,0.02,0.05,2.75
"130","Bangladesh","Southern Asia",0,4.69,0.4,0.43,0.6,0.41,0.13,0.21,2.52
"131","Lithuania","Central and Eastern Europe",0,5.83,1.15,1.26,0.73,0.21,0.01,0.03,2.45
"132","Virgin Islands, U.S.",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"133","Ghana","Sub-Saharan Africa",0,4.63,0.55,0.68,0.4,0.42,0.04,0.23,2.31
"134","Zambia","Sub-Saharan Africa",0,5.13,0.47,0.92,0.3,0.49,0.12,0.2,2.63
"135","Gibraltar",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"136","Bosnia and Herzegovina","Central and Eastern Europe",0,4.95,0.83,0.92,0.79,0.09,0,0.25,2.06
"137","Zimbabwe","Sub-Saharan Africa",0,4.61,0.27,1.03,0.33,0.26,0.08,0.19,2.44
"138","Lesotho","Sub-Saharan Africa",0,4.9,0.38,1.04,0.08,0.32,0.13,0.16,2.8
"139","Cyprus","Western Europe",0,5.69,1.21,0.89,0.92,0.41,0.06,0.31,1.89
"140","Yemen","Middle East and Northern Africa",0,4.08,0.55,0.68,0.4,0.36,0.08,0.09,1.92
"141","Haiti","Latin America and Caribbean",0,4.52,0.27,0.74,0.39,0.24,0.17,0.46,2.24
"142","Sierra Leone","Sub-Saharan Africa",0,4.51,0.33,0.96,0,0.41,0.09,0.21,2.51
"143","Virgin Islands, British",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"144","Peru","Latin America and Caribbean",0,5.82,0.9,0.97,0.73,0.41,0.06,0.15,2.59
"145","Armenia","Central and Eastern Europe",0,4.35,0.77,0.78,0.73,0.2,0.04,0.08,1.76
"146","Belarus","Central and Eastern Europe",0,5.81,1.03,1.23,0.74,0.38,0.19,0.11,2.13
"147","Uzbekistan","Central and Eastern Europe",0,6,0.63,1.34,0.6,0.66,0.31,0.23,2.24
"148","Uganda","Sub-Saharan Africa",0,3.93,0.21,1.13,0.34,0.46,0.07,0.29,1.43
"149","Venezuela, Bolivarian Republic of",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
